,barrierDamageDone,cards,criticalHits,criticalHitsAccuracy,damageDone,deaths,eliminations,environmentalKills,finalBlows,gamesPlayed,gamesWon,hero,heroDamageDone,medals,medalsBronze,medalsGold,medalsSilver,meleeFinalBlows,multikills,objectiveKills,objectiveTime,quickMeleeAccuracy,soloKills,timePlayed,timeSpentOnFire,weaponAccuracy,class
0,0,0,14,0.08,9008,24,20,0,12,0,1,genji,0,6,2,2,2,0,0,10,93,0,2,1200.0,0,0.28,attack
1,0,0,1,0.03,1825,8,3,0,1,0,0,mccree,0,2,0,0,1,0,0,2,25,0,0,360.0,0,0.23,attack
2,32917,12,0,0.0,303177,410,678,8,378,0,30,pharah,102190,142,53,41,48,1,6,310,1613,0,106,25200.0,850,0.41,attack
3,0,1,115,0.08,12147,25,35,0,26,0,1,reaper,0,11,3,5,4,0,0,13,110,0,15,1320.0,11,0.18,attack
4,68470,31,1308,0.04,667187,948,1785,2,936,0,53,soldier76,258699,438,118,163,157,17,10,773,4621,1,244,50400.0,3384,0.29,attack
5,0,2,0,0.0,7582,18,21,0,7,0,0,sombra,45,6,0,2,3,0,0,6,66,0,3,1200.0,0,0.35,attack
6,0,0,0,0.0,0,0,0,0,0,0,0,tracer,0,0,0,0,0,0,0,0,0,0,0,13.417940005660057,0,0.0,attack
7,0,25,1144,0.05,354992,318,740,0,472,0,31,bastion,706,184,50,82,52,2,6,298,697,0,158,21600.0,2235,0.17,defense
8,0,3,53,0.05,113035,163,267,0,173,0,15,hanzo,0,63,24,14,25,0,2,81,195,0,69,10800.0,273,0.17,defense
9,2971,1,0,0.0,41977,59,78,0,55,0,3,junkrat,3173,20,6,6,8,0,1,33,130,0,21,3600.0,139,0.17,defense
10,0,10,24,0.06,69293,54,199,0,96,0,8,torbjorn,0,39,12,12,14,0,1,55,63,0,33,3600.0,120,0.19,defense
11,0,1,40,0.07,29362,50,48,0,33,0,2,widowmaker,0,17,6,3,7,0,0,9,23,0,20,3360.0,150,0.42,defense
12,0,0,40,0.08,1811,7,5,0,3,0,0,dVa,0,3,1,1,1,0,0,3,30,0,0,420.0,0,0.2,tank
13,13523,7,0,0.0,62104,96,154,0,55,0,9,orisa,34049,28,14,7,7,0,0,55,287,0,10,7200.0,55,0.21,tank
14,0,38,0,0.0,171323,445,445,6,298,0,27,reinhardt,0,132,37,55,39,0,3,128,5396,0,107,25200.0,3653,0.0,tank
15,7238,51,7867,0.16,616889,908,1628,23,923,0,80,roadhog,24498,484,116,171,197,11,2,647,5359,0,250,61200.0,4565,0.29,tank
16,0,11,0,0.0,137699,338,437,3,176,0,23,winston,66,121,37,40,44,2,0,178,3693,0,48,18000.0,864,0.0,tank
17,0,8,0,0.0,104787,157,309,1,138,0,17,zarya,0,78,25,30,23,4,2,123,1264,0,38,10800.0,291,0.39,tank
18,0,0,0,0.0,0,1,0,0,0,0,0,ana,0,0,0,0,0,0,0,0,0,0,0,37.230482992716134,0,0.0,support
19,120,4,11,0.05,3767,96,15,0,8,0,5,mercy,2129,19,5,8,6,0,0,3,422,0,0,3600.0,148,0.28,support
20,0,3,0,0.0,9517,12,56,0,17,0,3,symmetra,0,9,2,4,3,0,0,23,61,0,5,1440.0,5,0.0,support
21,22272,58,509,0.07,344066,597,1098,0,472,0,62,zenyatta,87583,285,87,99,99,2,3,479,3993,0,101,39600.0,6524,0.24,support
22,3518,3,0,0.0,21377,60,69,0,39,0,2,doomfist,17795,16,4,10,2,0,0,26,282,0,17,2760.0,18,0.23,attack
23,112,0,7,0.05,6034,27,15,0,4,0,1,genji,845,6,4,2,0,0,0,6,127,0,1,1320.0,0,0.17,attack
24,140,0,3,0.01,8707,29,20,0,12,0,2,mccree,5567,9,4,0,5,0,0,6,40,0,5,1320.0,0,0.33,attack
25,5225,4,0,0.0,185620,339,379,6,211,0,13,pharah,23593,79,25,27,28,0,2,151,1013,0,79,18000.0,177,0.35,attack
26,822,1,263,0.09,18080,55,57,0,31,0,3,reaper,1191,15,5,7,4,0,1,18,264,0,10,2820.0,15,0.15,attack
27,7831,4,156,0.04,76355,113,191,0,104,0,7,soldier76,25724,48,15,15,18,0,1,72,415,1,27,3600.0,192,0.26,attack
28,80,0,0,0.0,16588,51,66,0,30,0,3,sombra,3226,15,7,3,5,0,1,30,278,0,12,2760.0,0,0.25,attack
29,40,7,1766,0.06,180097,413,575,0,221,0,21,tracer,3639,129,38,46,46,2,1,248,2165,0,75,18000.0,377,0.21,attack
30,2196,4,56,0.02,34514,43,93,0,50,0,4,bastion,13323,32,8,14,9,1,0,48,100,0,6,3600.0,120,0.14,defense
31,1101,0,6,0.06,9249,13,15,0,11,0,0,hanzo,4158,5,2,1,2,0,0,5,10,0,7,960.0,0,0.2,defense
32,4305,1,0,0.0,151303,228,287,1,188,0,8,junkrat,10116,65,26,15,24,0,0,131,524,0,68,10800.0,614,0.14,defense
